NAME,MESSAGE_TEXT,IS_JS_MESSAGE
4150_COLUMN_NUMBER,Стовпець %0,Y
ACCESS_CONTROL_ADMIN,Адміністратор,Y
ACCESS_CONTROL_USERNAME,Користувач,Y
ACCESS_DENIED_SIMPLE,Доступ заборонено,Y
ACCOUNT_HAS_BEEN_CREATED,Ваш обліковий запис %0 створено.,Y
ACCOUNT_LOCKED,Обліковий запис заблоковано.,Y
AM_PM,ДП / ПП,Y
APEX.ACTIONS.TOGGLE,Перемикнути %0,Y
APEX.ACTIVE_STATE,(Активний),Y
APEX.AJAX_SERVER_ERROR,Під час виконання Ajax запиту для %1 сталася помилка %0.,Y
APEX.APPLICATION.ALIAS.NON_UNIQUE,"Псевдонім застосунку ""%0"" не може бути перетворений в унікальний ідентифікатор.",Y
APEX.APPLICATION.ALIAS.UNHANDLED_ERROR,ERR-1816 Сталася помилка під час перетворення псевдоніма застосунку p_flow_alias_or_id (%0).,Y
APEX.APPLICATION.CHECKSUM.DESCRIPTION,"Контрольна сума застосунку надає простий спосіб визначити, чи розгорнуто один і той же застосунок у різних робочих просторах. Ви можете порівняти цю контрольну суму, щоб визначити, чи є збіги.",Y
APEX.AUTHENTICATION.AUTH_FUNC.UNHANDLED_ERROR,Сталася помилка під час виконання функції автентифікації.,Y
APEX.AUTHENTICATION.AUTH_FUNCTION.UNHANDLED_ERROR,Сталася помилка під час виконання функції автентифікації.,Y
APEX.AUTHENTICATION.CLOUD_IDM.HOST_PREFIX_MISMATCH,"Ім'я орендаря %0, що повернув Oracle Cloud Identity Management, не авторизоване для домену %1!<br/>Будь ласка, <a href=""&LOGOUT_URL."">увійдіть знову</a> та вкажіть авторизоване ім'я орендаря або змініть URL.",Y
APEX.AUTHENTICATION.CLOUD_IDM.USER_IS_NOT_DEVELOPER,"Ваш обліковий запис ""%0"" не має необхідних привілеїв для розробки (DB_DEVELOPER або DB_ADMINISTRATOR)<br/>у робочому просторі ""%1""! Будь ласка, <a href=""&LOGOUT_URL."">увійдіть знову</a> після того, як привілеї будуть надані.",Y
APEX.AUTHENTICATION.CLOUD_IDM.WRONG_GROUP_NAME,"Ім'я орендаря, що повернув Oracle Cloud Identity Management, не авторизоване для поточного робочого простору!<br/>Будь ласка, <a href=""&LOGOUT_URL."">увійдіть знову</a> та вкажіть авторизоване ім'я орендаря.",Y
APEX.AUTHENTICATION.HOST_PREFIX_MISMATCH,З міркувань безпеки запуск застосунків цього робочого простору через домен в URL-адресі неприпустимий.,Y
APEX.AUTHENTICATION.LDAP.DBMS_LDAP.ASK_FOR_INSTALLATION,"Будь ласка, зверніться до DBA з проханням виконати $OH/rdbms/admin/catldap.sql.",Y
APEX.AUTHENTICATION.LDAP.DBMS_LDAP.MISSING,Пакет SYS.DBMS_LDAP не існує або має помилки.,Y
APEX.AUTHENTICATION.LDAP.EDIT_USER_FUNCTION.UNHANDLED_ERROR,Сталася помилка під час виконання функції редагування користувача LDAP.,Y
APEX.AUTHENTICATION.LDAP.UNHANDLED_ERROR,Сталася помилка під час LDAP автентифікації.,Y
APEX.AUTHENTICATION.LOGIN.ILLEGAL_PAGE_ARG,Помилка в параметрі p_flow_page процедури login_page.,Y
APEX.AUTHENTICATION.LOGIN.INVALID_ARG,Неприпустимий p_session у wwv_flow_custom_auth_std.login--p_flow_page:%0 p_session_id:%1.,Y
APEX.AUTHENTICATION.LOGIN.MALFORMED_ARGS,Помилка в параметрі wwv_flow_custom_auth_std.login--p_flow_page:p_session_id:p_entry_point:%0:%1:%2.,Y
APEX.AUTHENTICATION.LOGIN.NULL_USER,До процедури входу передано пусте ім'я користувача.,Y
APEX.AUTHENTICATION.LOGIN_THROTTLE.COUNTER,"Будь ласка, зачекайте <span id=""apex_login_throttle_sec"">%0</span> секунд перше ніж повторити спробу входу.",Y
APEX.AUTHENTICATION.LOGIN_THROTTLE.ERROR,Спроба входу була заблокована.,Y
APEX.AUTHENTICATION.NOT_FOUND,"Схема автентифікації ""%0"" не знайдена",Y
APEX.AUTHENTICATION.NO_SECURITY_GROUP_ID,Ідентифікатор групи безпеки не задано.,Y
APEX.AUTHENTICATION.POST_AUTH_PROC.UNHANDLED_ERROR,Сталася помилка під час виконання процесу пост-автентифікації.,Y
APEX.AUTHENTICATION.PRE_AUTH_PROC.UNHANDLED_ERROR,Сталася помилка під час виконання процесу пре-автентифікації.,Y
APEX.AUTHENTICATION.RESET_PASSWORD.INSTRUCTIONS,"Будь ласка, відкрийте URL-адресу в тому самому браузері, в якому ви ініціювали запит на скидання пароля. Якщо ви натиснули URL-адресу скидання пароля і були перенаправлені на сторінку входу в систему, будь ласка, ініціюйте скидання пароля знову і залиште браузер відкритим.",Y
APEX.AUTHENTICATION.RESET_PASSWORD_URL,URL-адреса для скидання пароля,Y
APEX.AUTHENTICATION.RM_GROUP_NOT_GRANTED,Група споживання менеджера ресурсів %0 не була надана %1,Y
APEX.AUTHENTICATION.RM_INFO_TO_GRANT,"Для надання привілеї, що відсутні, використовуйте DBMS_RESOURCE_MANAGER_PRIVS.GRANT_SWITCH_CONSUMER_GROUP.",Y
APEX.AUTHENTICATION.SESSION_SENTRY_FUNCTION.UNHANDLED_ERROR,Сталася помилка під час виконання вартової функції сеансу.,Y
APEX.AUTHENTICATION.SESSION_VERIFY_FUNCTION.UNHANDLED_ERROR,Сталася помилка під час виконання функції перевірки сеансу.,Y
APEX.AUTHENTICATION.SSO.ASK_FOR_INSTALLATION,"Будь ласка, попросіть вашого %0 адміністратора налаштувати механізм Oracle Application Server Single Sign-On.",Y
APEX.AUTHENTICATION.SSO.BAD_URLC,"Неприпустимий %0 у маркері %1, що повернутий SSO.",Y
APEX.AUTHENTICATION.SSO.FIX_PARTNER_APP,"Будь ласка, змінить схему автентифікації і додайте назву застосунку.",Y
APEX.AUTHENTICATION.SSO.ILLEGAL_CALLER,"Метод, який викликає процедуру %0, не є припустимим:",Y
APEX.AUTHENTICATION.SSO.INVALID_APP_SESSION,Неприпустимий номер сеансу у urlc маркері: %0,Y
APEX.AUTHENTICATION.SSO.MISSING_APP_REGISTRATION,Помилка у portal_sso_redirect: відсутня інформація про реєстрацію застосунку: %0,Y
APEX.AUTHENTICATION.SSO.PACKAGE_MISSING,Пакет WWSEC_SSO_ENABLER_PRIVAT не існує або має помилки.,Y
APEX.AUTHENTICATION.SSO.PARTNER_APP_IS_NULL,Не вдалося знайти в схемі автентифікації ім'я зареєстрованого партнерського застосунку.,Y
APEX.AUTHENTICATION.SSO.REGISTER_APP,"Будь ласка, зареєструйте цей застосунок, як описано в керівництві по установці.",Y
APEX.AUTHENTICATION.SSO.UNHANDLED_ERROR,Сталася помилка під час SSO автентифікації.,Y
APEX.AUTHENTICATION.UNAUTHORIZED_URL,Несанкціонована URL-адреса: %0,Y
APEX.AUTHENTICATION.UNHANDLED_ERROR,Сталася помилка під час автентифікації.,Y
APEX.AUTHENTICATION.WORKSPACE_NOT_ASSIGNED,"Робочий простір ""%0"" неактивний. Зверніться до адміністратора.",Y
APEX.AUTHORIZATION.ACCESS_DENIED,%0,Y
APEX.AUTHORIZATION.ACCESS_DENIED.APPLICATION,Доступ заборонено політикою безпеки застосунку,Y
APEX.AUTHORIZATION.ACCESS_DENIED.PAGE,Доступ заборонено політикою безпеки сторінки,Y
APEX.AUTHORIZATION.UNHANDLED_ERROR,Сталася помилка під час авторизації.,Y
APEX.BUILT_WITH_LOVE_USING_APEX,Створено з %0 за допомогою %1,Y
APEX.BUILT_WITH_LOVE_USING_APEX.ACCESSIBLE.LOVE,любов'ю,Y
APEX.CALENDAR.EVENT_DESCRIPTION,Опис події,Y
APEX.CALENDAR.EVENT_END,Дата до,Y
APEX.CALENDAR.EVENT_ID,Ідентифікатор події,Y
APEX.CALENDAR.EVENT_START,Дата з,Y
APEX.CALENDAR.EVENT_TITLE,Назва події,Y
APEX.CHECKBOX.VISUALLY_HIDDEN_CHECKBOX,Візуально прихований прапорець,Y
APEX.CHECKSUM.CONTENT_ERROR,Зміст контрольної суми не є прийнятним,Y
APEX.CHECKSUM.FORMAT_ERROR,Формат контрольної суми не є прийнятним,Y
APEX.CLIPBOARD.COPIED,Скопійовано до буфера обміну.,Y
APEX.CLIPBOARD.NOTSUP,Цей браузер не підтримує копіювання за допомогою кнопки або меню. Спробуйте Ctrl+C або Command+C.,Y
APEX.CLOSE_NOTIFICATION,Згорнути,Y
APEX.COLOR_PICKER.CONTRAST,Контраст,Y
APEX.COLOR_PICKER.CURRENT,Поточний,Y
APEX.COLOR_PICKER.INITIAL,Початковий,Y
APEX.COLOR_PICKER.INVALID_COLOR,Значення #LABEL# має бути припустимим кольором. Наприклад: %0,Y
APEX.COLOR_PICKER.MORE_PRESET_COLORS,Додаткові кольори,Y
APEX.COLOR_PICKER.OPEN,Розгорнути палітру вибору кольору,Y
APEX.COLOR_PICKER.SPECTRUM.ALPHA_SLIDER,"Прозорість, горизонтальний повзунок. Для навігації використовуйте клавіші зі стрілками.",Y
APEX.COLOR_PICKER.SPECTRUM.COLOR_SPECTRUM,"Спектр кольорів, 4-позиційний повзунок. Для навігації використовуйте клавіші зі стрілками.",Y
APEX.COLOR_PICKER.SPECTRUM.HUE_SLIDER,"Відтінок, вертикальний повзунок. Для навігації використовуйте клавіші зі стрілками.",Y
APEX.COLOR_PICKER.TITLE,Виберіть колір,Y
APEX.COLOR_PICKER.TOGGLE_TITLE,Змінити формат кольору,Y
APEX.COMBOBOX.LIST_OF_VALUES,Список значень,Y
APEX.COMBOBOX.SHOW_ALL_VALUES,Розгорнути список для: %0,Y
APEX.COMPLETED_STATE,(Завершено),Y
APEX.CONTACT_ADMIN,Зверніться до адміністратора.,Y
APEX.CONTACT_ADMIN.DEBUG,"Зверніться до адміністратора. Докладна інформація про цей інцидент доступна за ідентифікаційний кодом ""%0"".",Y
APEX.CORRECT_ERRORS,"Перед збереженням виправить, будь ласка, помилки.",Y
APEX.CS.ACTIVE_VALUE_CHIP,"%0. Щоб видалити, натисніть клавішу Backspace.",Y
APEX.CS.MATCHES_FOUND,Знайдено збігів %0,Y
APEX.CS.NO_MATCHES,Збігів не знайдено,Y
APEX.CURRENT_PROGRESS,Поточний прогрес,Y
APEX.DATA.LOAD.FILE_DOES_NOT_EXIST,"Файл, що вказано в елементі %0, не існує у APEX_APPLICATION_TEMP_FILES.",Y
APEX.DATA_HAS_CHANGED,Поточна версія даних у базі даних змінилася відтоді як користувач ініціював процес оновлення.,Y
APEX.DATA_LOAD.DO_NOT_LOAD,Не завантажувати,Y
APEX.DATA_LOAD.FAILED,Сталася помилка під час попередньої обробки,Y
APEX.DATA_LOAD.INSERT,Вставити рядок,Y
APEX.DATA_LOAD.SEQUENCE_ACTION,Послідовність: дія,Y
APEX.DATA_LOAD.UPDATE,Оновити рядок,Y
APEX.DATEPICKER.ACTIONS,Дії,Y
APEX.DATEPICKER.AM_PM,ДП/ПП,Y
APEX.DATEPICKER.BOUNDARY_ITEM_FORMAT_INVALID,Значення %0 має бути припустимою датою. Наприклад: %1.,Y
APEX.DATEPICKER.CLEAR,Очистити,Y
APEX.DATEPICKER.DONE,Готово,Y
APEX.DATEPICKER.FORMAT_NOT_SUPPORTED,%0 містить непідтримувані елементи в масці формату %1,Y
APEX.DATEPICKER.HOUR,Година,Y
APEX.DATEPICKER.ICON_TEXT,Спливаючий календар: %0,Y
APEX.DATEPICKER.ISO_WEEK,Тиждень,Y
APEX.DATEPICKER.ISO_WEEK_ABBR,ТЖ.,Y
APEX.DATEPICKER.MINUTES,Хвилини,Y
APEX.DATEPICKER.MONTH,Місяць,Y
APEX.DATEPICKER.NEXT_MONTH,Наступний місяць,Y
APEX.DATEPICKER.POPUP,Спливаюче вікно для %0,Y
APEX.DATEPICKER.PREVIOUS_MONTH,Попередній місяць,Y
APEX.DATEPICKER.READONLY_DATEPICKER,"Поле дати, що доступне тільки на читання",Y
APEX.DATEPICKER.SELECT_DATE,Вибрати дату,Y
APEX.DATEPICKER.SELECT_DATE_AND_TIME,Виберіть дату та час,Y
APEX.DATEPICKER.SELECT_DAY,Виберіть день,Y
APEX.DATEPICKER.SELECT_MONTH_AND_YEAR,Виберіть місяць та рік,Y
APEX.DATEPICKER.SELECT_TIME,Виберіть час,Y
APEX.DATEPICKER.TODAY,Сьогодні,Y
APEX.DATEPICKER.VALUE_INVALID,Значення #LABEL# має бути припустимою датою. Наприклад: %0.,Y
APEX.DATEPICKER.VALUE_MUST_BE_BETWEEN,Дата #LABEL# поза межами допустимого діапазону від %0 до %1.,Y
APEX.DATEPICKER.VALUE_MUST_BE_ON_OR_AFTER,Дата #LABEL# менша ніж зазначений мінімум %0.,Y
